id_tra,idbin,idcategoria,idcomercio,fecha,monto
TX3117,510001,C,COM002,2024-04-13,687.68
TX3118,510000,C,COM004,2024-01-15,243.44
TX3119,352800,I,COM001,2024-02-20,331.58
TX3120,400001,I,COM004,2024-03-19,386.19
TX3121,601000,C,COM004,2024-02-23,571.19
TX3122,601000,C,COM004,2024-04-18,950.32
TX3123,400000,C,COM004,2024-05-10,862.88
TX3124,400000,C,COM001,2024-05-20,519.54
TX3125,400000,C,COM005,2024-02-25,288.41
TX3126,400001,A,COM001,2024-02-19,662.36
TX3127,352801,I,COM001,2024-02-24,427.32
TX3128,400001,C,COM005,2024-01-24,767.21
TX3129,352800,I,COM004,2024-05-22,442.46
TX3130,400001,C,COM002,2024-01-14,630.69
TX3131,400000,I,COM003,2024-02-27,486.18
TX3132,352801,I,COM001,2024-01-17,897.94
TX3133,601001,C,COM001,2024-03-24,455.38
TX3134,601000,I,COM001,2024-06-30,872.48
TX3135,601001,C,COM005,2024-03-09,431.98
TX3136,400001,I,COM003,2024-02-29,951.77
TX3137,510001,I,COM005,2024-01-17,849.76
TX3138,400001,C,COM003,2024-01-31,610.79
TX3139,400001,C,COM003,2024-05-13,783.14
TX3140,601000,C,COM002,2024-01-26,811.91
TX3141,352800,C,COM002,2024-04-30,893.91
TX3142,510000,C,COM003,2024-03-11,958.48
TX3143,510001,I,COM001,2024-02-01,110.85
TX3144,510001,I,COM001,2024-05-14,795.86
TX3145,400000,C,COM004,2024-05-30,225.85
TX3146,601000,C,COM004,2024-02-29,184.81
TX3147,510001,I,COM001,2024-03-12,131.72
TX3148,400000,C,COM002,2024-04-25,651.28
TX3149,601000,I,COM002,2024-06-03,620.48
TX3150,510000,I,COM001,2024-01-17,835.19
TX3151,510001,I,COM004,2024-06-08,314.76
TX3152,352800,I,COM003,2024-02-25,42.44
TX3153,510000,I,COM002,2024-02-06,590.16
TX3154,400000,C,COM001,2024-05-29,389.68
TX3155,601000,I,COM005,2024-03-24,261.23
TX3156,510001,I,COM001,2024-06-20,24.47
TX3157,601000,C,COM003,2024-01-22,338.45
TX3158,400001,C,COM002,2024-05-26,234.65
TX3159,352801,C,COM002,2024-04-24,285.49
TX3160,510000,I,COM001,2024-05-18,637.31
TX3161,352801,I,COM004,2024-02-02,928.8
TX3162,510001,C,COM002,2024-04-16,344.73
TX3163,352801,I,COM004,2024-03-19,558.11
TX3164,601000,C,COM002,2024-05-18,595.39
TX3165,352800,C,COM002,2024-05-24,11.27
TX3166,601000,C,COM002,2024-01-28,123.03
TX3167,510001,C,COM002,2024-05-27,667.89
TX3168,601001,C,COM001,2024-04-27,490.64
TX3169,352800,I,COM004,2024-02-22,436.87
TX3170,510001,C,COM002,2024-01-19,553.68
TX3171,352800,I,COM003,2024-06-02,363.51
TX3172,601000,I,COM003,2024-06-27,391.54
TX3173,601000,C,COM001,2024-05-11,715.16
TX3174,400001,C,COM002,2024-02-12,510.72
TX3175,352800,I,COM004,2024-02-03,38.83
TX3176,400001,I,COM004,2024-01-07,239.72
TX3177,400001,I,COM002,2024-03-18,89.45
TX3178,601000,C,COM002,2024-03-04,554.98
TX3179,352800,A,COM002,2024-05-29,822.07
TX3180,510001,C,COM001,2024-05-25,912.46
TX3181,510001,C,COM001,2024-05-29,300.92
TX3182,400001,I,COM002,2024-06-04,470.94
TX3183,352800,C,COM001,2024-05-29,819.89
TX3184,352800,C,COM001,2024-04-25,283.55
TX3185,400000,I,COM001,2024-01-14,637.15
TX3186,400000,I,COM004,2024-04-22,337.86
TX3187,601000,C,COM004,2024-05-04,796.55
TX3188,352800,C,COM001,2024-05-15,16.63
TX3189,352801,C,COM004,2024-05-13,49.22
TX3190,352801,I,COM002,2024-03-16,786.86
TX3191,352801,I,COM003,2024-03-14,167.11
TX3192,400001,I,COM003,2024-06-11,664.29
TX3193,400000,I,COM005,2024-03-13,221.88
TX3194,352801,C,COM001,2024-01-22,85.26
TX3195,601001,I,COM002,2024-01-22,521.02
TX3196,352800,C,COM002,2024-05-14,566.5
TX3197,352801,I,COM004,2024-03-19,39.91
TX3198,601000,C,COM002,2024-01-30,347.11
TX3199,510001,C,COM003,2024-05-23,709.12
TX3200,510000,C,COM001,2024-01-11,805.07
TX3201,400001,C,COM002,2024-04-21,677.45
TX3202,400000,C,COM001,2024-05-21,279.59
TX3203,400001,C,COM002,2024-05-06,682.27
TX3204,400000,C,COM004,2024-04-07,636.83
TX3205,601000,A,COM005,2024-02-12,620.73
TX3206,510000,I,COM002,2024-01-06,678.45
TX3207,352801,C,COM001,2024-04-23,995.45
TX3208,601000,C,COM004,2024-05-01,291.43
TX3209,352801,C,COM005,2024-05-13,688.46
TX3210,510000,A,COM001,2024-02-05,438.28
TX3211,400001,I,COM005,2024-06-25,945.44
TX3212,601001,C,COM002,2024-02-18,330.97
TX3213,510001,C,COM002,2024-01-17,512.14
TX3214,601000,C,COM001,2024-02-10,295.02
TX3215,601001,I,COM005,2024-06-07,350.74
TX3216,510001,I,COM002,2024-03-28,582.7
TX3217,601001,C,COM003,2024-05-16,468.81
TX3218,400001,C,COM005,2024-04-28,534.94
TX3219,601000,C,COM003,2024-03-07,489.13
TX3220,400000,C,COM002,2024-02-01,892.28
TX3221,352801,I,COM001,2024-02-05,834.18
TX3222,400001,I,COM001,2024-03-25,186.03
TX3223,601000,I,COM005,2024-06-09,619.76
TX3224,352800,C,COM001,2024-05-07,125.02
TX3225,352801,A,COM005,2024-05-31,130.96
TX3226,352800,I,COM002,2024-02-29,724.77
TX3227,400000,I,COM002,2024-03-23,515.87
TX3228,352801,C,COM003,2024-05-12,312.09
TX3229,510001,C,COM001,2024-01-31,516.65
TX3230,601000,I,COM004,2024-02-06,465.53
TX3231,400001,C,COM003,2024-04-22,655.47
TX3232,510001,C,COM005,2024-05-11,189.15
TX3233,400001,I,COM002,2024-01-22,162.01
TX3234,400000,C,COM002,2024-04-12,308.62
TX3235,601000,A,COM005,2024-06-21,478.33
TX3236,510000,I,COM001,2024-02-16,315.15
TX3237,510000,C,COM001,2024-04-29,159.21
TX3238,510000,I,COM003,2024-04-20,488.76
TX3239,400001,I,COM005,2024-01-19,897.22
TX3240,601001,C,COM004,2024-05-20,798.58
TX3241,352800,I,COM001,2024-06-20,884.42
TX3242,400000,C,COM005,2024-01-08,167.2
TX3243,601000,I,COM001,2024-06-08,776.95
TX3244,510001,C,COM001,2024-02-08,714.61
TX3245,510001,C,COM005,2024-04-22,194.9
TX3246,400000,I,COM001,2024-06-05,899.87
TX3247,400000,I,COM004,2024-06-10,42.49
TX3248,352800,I,COM005,2024-03-09,385.83
TX3249,400000,C,COM003,2024-01-14,251.45
TX3250,352801,I,COM001,2024-04-27,210.85
TX3251,510001,A,COM004,2024-05-29,392.09
TX3252,400000,I,COM005,2024-02-25,362.02
TX3253,400001,I,COM001,2024-06-08,173.07
TX3254,352800,I,COM002,2024-02-29,913.72
TX3255,510000,A,COM005,2024-06-01,228.93
TX3256,601000,C,COM004,2024-01-23,508.36
TX3257,601000,I,COM002,2024-06-01,333.91
TX3258,510001,I,COM004,2024-06-26,740.33
TX3259,352800,C,COM005,2024-05-17,212.91
TX3260,400001,I,COM004,2024-02-16,192.7
TX3261,510000,C,COM001,2024-05-03,117.65
TX3262,400001,I,COM005,2024-06-02,293.76
TX3263,510000,I,COM001,2024-06-29,290.57
TX3264,510001,I,COM001,2024-02-23,336.48
TX3265,352801,C,COM002,2024-04-28,657.06
TX3266,352801,I,COM005,2024-02-09,332.4
TX3267,400000,C,COM003,2024-01-16,272.09
TX3268,352800,C,COM004,2024-05-30,356.7
TX3269,352800,C,COM001,2024-04-07,565.2
TX3270,352801,A,COM002,2024-05-27,637.89
TX3271,601000,C,COM005,2024-04-19,164.47
TX3272,601001,C,COM004,2024-04-25,113.36
TX3273,510001,C,COM002,2024-01-18,583.94
TX3274,510000,C,COM005,2024-01-20,89.38
TX3275,510000,I,COM002,2024-05-22,262.64
TX3276,601000,C,COM001,2024-04-14,663.9
TX3277,601001,C,COM003,2024-01-27,133.13
TX3278,352800,C,COM005,2024-04-24,85.16
TX3279,601001,C,COM001,2024-01-19,768.75
TX3280,601000,I,COM001,2024-01-01,862.44
TX3281,510001,I,COM005,2024-02-22,388.24
TX3282,352800,C,COM001,2024-05-02,907.87
TX3283,510001,C,COM002,2024-04-06,507.36
TX3284,400000,C,COM004,2024-04-09,127.95
TX3285,601001,A,COM002,2024-01-17,668.43
TX3286,400001,I,COM002,2024-04-13,18.38
TX3287,400001,C,COM002,2024-01-27,601.82
TX3288,601000,I,COM004,2024-01-10,307.64
TX3289,400001,C,COM003,2024-04-14,48.33
TX3290,601000,C,COM001,2024-02-07,328.56
TX3291,400000,I,COM004,2024-03-08,115.83
TX3292,400000,C,COM002,2024-05-08,654.81
TX3293,400001,I,COM002,2024-03-31,98.46
TX3294,400001,I,COM004,2024-01-20,278.88
TX3295,352800,I,COM004,2024-03-17,303.47
TX3296,510000,C,COM002,2024-04-07,652.44
TX3297,352800,A,COM001,2024-04-12,433.58
TX3298,601000,C,COM002,2024-06-11,11.19
TX3299,352801,I,COM001,2024-03-02,54.86
TX3300,601000,C,COM001,2024-05-28,668.15
TX3301,601000,A,COM001,2024-02-13,262.33
TX3302,400001,I,COM001,2024-03-02,347.24
TX3303,510000,I,COM004,2024-06-10,84.27
TX3304,601001,I,COM003,2024-01-10,222.42
TX3305,510001,I,COM002,2024-03-27,766.26
TX3306,510000,C,COM005,2024-01-30,649.88
TX3307,510000,I,COM005,2024-01-10,366.61
TX3308,352800,C,COM001,2024-03-31,485.18
TX3309,400000,C,COM003,2024-04-03,402.55
TX3310,601001,I,COM005,2024-02-16,271.59
TX3311,400001,I,COM001,2024-06-20,26.4
TX3312,352801,A,COM005,2024-02-03,171.4
TX3313,352801,I,COM005,2024-04-30,139.96
TX3314,601001,I,COM005,2024-02-22,401.13
TX3315,601000,C,COM003,2024-05-23,299.41
TX3316,510001,I,COM003,2024-04-22,706.14
TX3317,352801,I,COM005,2024-03-03,898.21
TX3318,510000,C,COM003,2024-04-03,739.04
TX3319,352801,I,COM003,2024-06-28,62.12
TX3320,601001,I,COM004,2024-06-15,41.11
TX3321,400000,C,COM002,2024-05-28,583.8
TX3322,352801,C,COM003,2024-02-23,284.77
TX3323,510001,I,COM004,2024-06-23,784.47
TX3324,352800,C,COM003,2024-02-28,864.99
TX3325,400001,C,COM005,2024-05-25,417.02
TX3326,601001,I,COM004,2024-03-12,710.81
TX3327,510000,C,COM002,2024-05-20,490.06
TX3328,400000,I,COM005,2024-06-30,238.63
TX3329,352801,C,COM004,2024-04-29,826.9
TX3330,510000,C,COM005,2024-04-18,287.68
TX3331,601001,C,COM003,2024-05-22,73.26
TX3332,601001,I,COM004,2024-06-27,896.78
TX3333,352801,I,COM005,2024-02-20,975.13
TX3334,510001,I,COM004,2024-03-11,183.57
TX3335,601000,C,COM003,2024-01-15,15.25
TX3336,352801,C,COM002,2024-02-25,521.25
TX3337,510000,I,COM005,2024-06-29,42.88
TX3338,601000,C,COM004,2024-01-11,832.65
TX3339,352800,I,COM005,2024-02-07,109.82
TX3340,510000,C,COM004,2024-02-08,192.2
TX3341,510001,C,COM003,2024-03-27,451.93
TX3342,601000,I,COM003,2024-02-21,92.55
TX3343,601000,I,COM003,2024-06-01,417.49
TX3344,601001,C,COM002,2024-05-06,852.16
TX3345,352801,I,COM002,2024-03-15,545.22
TX3346,601001,I,COM002,2024-05-31,435.29
TX3347,400000,I,COM001,2024-03-06,112.52
TX3348,352800,I,COM005,2024-06-20,618.75
TX3349,400001,I,COM004,2024-05-28,711.13
TX3350,400001,I,COM002,2024-01-21,833.22
TX3351,352801,I,COM005,2024-02-17,885.65
TX3352,601001,I,COM005,2024-03-17,494.62
TX3353,400000,I,COM001,2024-06-09,796.15
TX3354,601000,C,COM005,2024-05-02,387.25
TX3355,352800,C,COM004,2024-04-06,824.21
TX3356,400001,A,COM001,2024-04-21,980.12
TX3357,352801,C,COM004,2024-04-14,246.49
TX3358,510001,C,COM005,2024-01-18,690.74
TX3359,601000,C,COM002,2024-04-02,638.0
TX3360,601000,C,COM002,2024-05-31,486.71
TX3361,400000,I,COM002,2024-06-20,648.87
TX3362,601001,C,COM003,2024-04-12,465.75
TX3363,400000,C,COM001,2024-05-12,354.64
TX3364,510001,A,COM002,2024-05-03,253.7
TX3365,601000,C,COM001,2024-06-10,372.07
TX3366,510001,C,COM003,2024-04-25,338.24
TX3367,510000,C,COM005,2024-01-20,706.5
TX3368,400000,I,COM001,2024-05-31,735.07
TX3369,400000,I,COM005,2024-03-02,201.31
TX3370,601001,I,COM005,2024-03-22,95.24
TX3371,601001,A,COM004,2024-02-07,69.63
TX3372,601000,C,COM001,2024-04-30,535.16
TX3373,510000,A,COM003,2024-03-30,106.46
TX3374,510000,I,COM001,2024-02-04,199.82
TX3375,400001,I,COM001,2024-03-16,995.81
TX3376,510000,I,COM001,2024-03-12,717.41
TX3377,400000,C,COM004,2024-02-04,233.01
TX3378,510000,C,COM004,2024-04-21,410.03
TX3379,352800,I,COM004,2024-06-13,47.87
TX3380,510000,C,COM004,2024-01-10,644.45
TX3381,510001,I,COM002,2024-03-07,30.01
TX3382,400000,C,COM005,2024-05-18,944.32
TX3383,510000,C,COM002,2024-05-21,25.93
TX3384,400000,I,COM002,2024-04-10,526.79
TX3385,601000,C,COM001,2024-04-26,347.21
TX3386,400001,C,COM003,2024-01-08,937.99
TX3387,510001,C,COM004,2024-02-22,765.5
TX3388,400000,I,COM003,2024-06-06,172.68
TX3389,400000,C,COM005,2024-03-12,852.38
TX3390,510001,I,COM004,2024-03-19,706.19
TX3391,400001,C,COM004,2024-05-26,863.16
TX3392,510001,I,COM001,2024-05-27,827.81
TX3393,510001,C,COM004,2024-05-05,180.0
TX3394,601000,C,COM005,2024-02-03,196.03
TX3395,510001,I,COM005,2024-06-15,491.01
TX3396,601001,C,COM005,2024-01-07,573.09
TX3397,510000,C,COM002,2024-01-11,740.7
TX3398,352800,I,COM001,2024-02-05,615.07
TX3399,510001,I,COM002,2024-02-21,562.05
TX3400,601001,C,COM003,2024-06-06,651.34
TX3401,400001,I,COM004,2024-02-25,292.26
TX3402,510000,I,COM005,2024-02-18,870.8
TX3403,352801,A,COM005,2024-06-23,944.64
TX3404,400000,C,COM001,2024-04-10,121.47
TX3405,510001,C,COM003,2024-05-18,69.64
TX3406,352801,I,COM002,2024-06-02,853.4
TX3407,510000,C,COM003,2024-01-14,851.64
TX3408,510000,C,COM005,2024-04-05,797.88
TX3409,352801,C,COM004,2024-05-30,733.9
TX3410,352801,A,COM005,2024-04-09,78.94
TX3411,400000,I,COM003,2024-05-31,49.68
TX3412,601000,A,COM001,2024-06-24,765.92
TX3413,510000,C,COM003,2024-01-15,373.36
TX3414,352800,I,COM003,2024-02-13,405.41
TX3415,510000,C,COM003,2024-01-06,675.84
TX3416,352801,C,COM004,2024-04-16,130.83
TX3417,510001,C,COM001,2024-02-27,822.73
TX3418,510001,I,COM001,2024-02-04,134.6
TX3419,601000,C,COM005,2024-05-09,920.22
TX3420,601000,I,COM004,2024-03-05,643.68
TX3421,601000,I,COM003,2024-03-28,399.31
TX3422,400000,C,COM003,2024-04-23,192.08
TX3423,352801,I,COM001,2024-02-03,404.25
TX3424,400001,I,COM005,2024-06-01,555.72
TX3425,601000,I,COM005,2024-06-20,884.11
TX3426,352801,I,COM005,2024-04-20,951.27
TX3427,400000,C,COM002,2024-03-16,677.83
TX3428,400000,I,COM001,2024-06-17,142.83
TX3429,400001,C,COM005,2024-02-01,367.47
TX3430,510000,C,COM005,2024-05-15,396.65
TX3431,510001,I,COM003,2024-01-23,114.57
TX3432,601001,C,COM002,2024-04-06,441.45
TX3433,400000,C,COM003,2024-04-06,688.49
TX3434,400001,C,COM002,2024-05-16,731.91
TX3435,510001,I,COM003,2024-04-19,219.92
TX3436,400001,C,COM004,2024-04-29,235.88
TX3437,352800,C,COM005,2024-04-18,551.32
TX3438,352801,C,COM005,2024-04-14,709.37
TX3439,601001,C,COM005,2024-01-07,770.38
TX3440,601001,C,COM003,2024-05-23,644.04
TX3441,400001,I,COM001,2024-06-07,353.62
TX3442,352800,I,COM005,2024-03-21,59.7
TX3443,400001,I,COM001,2024-01-24,500.19
TX3444,352801,I,COM002,2024-06-01,139.76
TX3445,352801,C,COM004,2024-05-12,493.72
TX3446,352801,C,COM001,2024-05-09,140.48
TX3447,352800,I,COM001,2024-03-27,677.87
TX3448,510000,C,COM003,2024-06-20,168.46
TX3449,400000,C,COM002,2024-04-09,319.11
TX3450,601000,C,COM002,2024-04-08,200.13
TX3451,510001,C,COM004,2024-02-19,26.53
TX3452,352800,C,COM004,2024-01-15,59.03
TX3453,352800,C,COM001,2024-02-07,723.76
TX3454,601001,I,COM002,2024-02-26,370.53
TX3455,601001,C,COM005,2024-01-29,666.31
TX3456,352800,C,COM005,2024-01-05,84.63
TX3457,352800,C,COM005,2024-04-10,867.48
TX3458,400000,I,COM002,2024-06-07,772.71
TX3459,400000,C,COM005,2024-06-19,664.62
TX3460,400000,A,COM003,2024-04-01,880.23
TX3461,510000,I,COM004,2024-06-22,959.01
TX3462,601001,C,COM001,2024-02-05,275.86
TX3463,352800,C,COM004,2024-05-02,563.83
TX3464,352800,A,COM005,2024-06-29,185.88
TX3465,400001,C,COM003,2024-04-11,646.87
TX3466,352800,I,COM004,2024-03-30,207.22
TX3467,400000,C,COM003,2024-05-07,448.94
TX3468,352801,I,COM003,2024-03-29,793.02
TX3469,601001,I,COM003,2024-04-12,295.88
TX3470,400001,I,COM003,2024-03-22,290.93
TX3471,400000,I,COM001,2024-01-15,618.2
TX3472,510000,I,COM005,2024-03-04,548.81
TX3473,352800,I,COM003,2024-01-13,615.35
TX3474,601000,C,COM003,2024-04-07,967.09
TX3475,510000,I,COM001,2024-04-18,330.37
TX3476,400000,I,COM004,2024-05-08,709.61
TX3477,601000,C,COM001,2024-04-23,57.2
TX3478,352801,C,COM001,2024-01-26,923.73
TX3479,352801,A,COM003,2024-06-06,910.44
TX3480,352801,I,COM004,2024-03-17,883.24
TX3481,510001,I,COM004,2024-03-17,277.32
TX3482,352800,I,COM004,2024-02-08,968.11
TX3483,601000,C,COM003,2024-01-28,638.92
TX3484,352801,A,COM004,2024-01-21,777.93
TX3485,352801,I,COM005,2024-03-12,831.83
TX3486,601001,A,COM002,2024-04-19,467.51
TX3487,601001,C,COM003,2024-04-08,688.78
TX3488,352800,I,COM002,2024-02-17,351.02
TX3489,510001,I,COM004,2024-01-20,706.78
TX3490,601000,C,COM004,2024-05-17,32.13
TX3491,400000,I,COM003,2024-03-23,559.51
TX3492,601000,I,COM002,2024-06-04,647.66
TX3493,510000,I,COM005,2024-02-18,345.09
TX3494,400001,C,COM005,2024-01-18,685.98
TX3495,400001,I,COM001,2024-03-18,565.98
TX3496,352801,I,COM003,2024-06-10,133.37
TX3497,352800,C,COM001,2024-02-15,537.93
TX3498,352800,C,COM001,2024-01-27,703.04
TX3499,510000,C,COM003,2024-02-06,233.63
TX3500,601000,I,COM002,2024-03-11,701.23
TX3501,352800,C,COM003,2024-04-30,860.25
TX3502,510000,I,COM003,2024-03-17,887.13
TX3503,510000,I,COM004,2024-03-17,595.95
TX3504,510000,I,COM005,2024-03-23,651.49
TX3505,352801,C,COM005,2024-05-12,678.0
TX3506,352800,C,COM005,2024-06-03,472.41
TX3507,352801,I,COM005,2024-01-09,147.05
TX3508,510001,I,COM004,2024-04-08,519.39
TX3509,510001,C,COM001,2024-04-02,967.81
TX3510,400000,I,COM005,2024-06-29,761.88
TX3511,400000,C,COM001,2024-05-13,518.08
TX3512,400000,I,COM003,2024-03-12,258.31
TX3513,601001,I,COM005,2024-03-09,212.51
TX3514,601000,I,COM001,2024-04-07,826.58
TX3515,352800,I,COM004,2024-03-05,558.8
TX3516,601001,I,COM002,2024-01-27,984.16
TX3517,352801,I,COM001,2024-06-05,595.48
TX3518,400001,C,COM005,2024-04-25,803.3
TX3519,400001,C,COM001,2024-04-03,957.42
TX3520,400001,I,COM004,2024-03-18,767.43
TX3521,352800,I,COM005,2024-02-10,694.34
TX3522,601001,C,COM005,2024-02-01,219.05
TX3523,510001,I,COM004,2024-02-03,498.17
TX3524,400001,C,COM002,2024-05-18,858.61
TX3525,510001,I,COM003,2024-06-13,364.76
TX3526,352801,I,COM005,2024-06-24,200.53
TX3527,352800,I,COM002,2024-06-20,741.97
TX3528,601000,I,COM005,2024-06-20,129.73
TX3529,601001,C,COM003,2024-01-19,778.44
TX3530,352800,C,COM003,2024-05-06,812.03
TX3531,400000,C,COM003,2024-02-06,41.53
TX3532,400000,I,COM004,2024-03-20,301.27
TX3533,400001,I,COM003,2024-06-07,255.3
TX3534,400001,C,COM003,2024-01-21,475.23
TX3535,352800,C,COM002,2024-05-22,263.77
TX3536,400000,C,COM002,2024-01-04,115.14
TX3537,510001,C,COM002,2024-04-09,772.33
TX3538,400000,I,COM005,2024-04-04,150.39
TX3539,400000,C,COM003,2024-02-08,635.16
TX3540,510000,A,COM004,2024-05-28,698.4
TX3541,352801,C,COM002,2024-05-27,30.02
TX3542,510001,I,COM002,2024-06-29,371.53
TX3543,352800,I,COM005,2024-02-14,618.83
TX3544,601001,C,COM003,2024-05-24,988.13
TX3545,601001,C,COM002,2024-04-28,863.3
TX3546,352800,I,COM005,2024-03-16,213.1
TX3547,601001,C,COM004,2024-05-03,540.86
TX3548,352800,C,COM001,2024-05-17,189.39
TX3549,352800,A,COM002,2024-01-22,769.29
TX3550,601000,I,COM001,2024-01-11,885.03
TX3551,400001,I,COM005,2024-06-20,431.5
TX3552,352800,C,COM005,2024-03-05,616.13
TX3553,510000,I,COM001,2024-06-03,53.28
TX3554,601000,C,COM001,2024-01-04,902.76
TX3555,352801,C,COM001,2024-04-18,118.24
TX3556,400001,I,COM001,2024-04-16,155.9
TX3557,400001,C,COM005,2024-03-04,629.4
TX3558,601000,I,COM005,2024-02-24,32.66
TX3559,510000,I,COM001,2024-02-28,784.77
TX3560,510000,C,COM002,2024-01-31,951.97
TX3561,601001,C,COM002,2024-05-03,104.45
TX3562,400001,I,COM003,2024-01-14,691.24
TX3563,601001,C,COM005,2024-01-21,21.41
TX3564,601000,C,COM001,2024-01-03,491.62
TX3565,352801,C,COM005,2024-05-16,747.63
TX3566,352800,I,COM005,2024-06-18,768.21
TX3567,601001,C,COM002,2024-05-19,101.09
TX3568,400000,C,COM005,2024-04-02,25.01
TX3569,400001,C,COM005,2024-01-10,973.62
TX3570,400000,I,COM004,2024-03-08,621.28
TX3571,352801,C,COM004,2024-01-22,554.41
TX3572,601001,C,COM002,2024-04-24,117.53
TX3573,400001,I,COM003,2024-02-10,469.51
TX3574,601000,I,COM005,2024-06-23,538.01
TX3575,400000,C,COM004,2024-02-10,11.66
TX3576,400001,I,COM004,2024-06-06,883.12
