transaccion_id;fecha;categoria;monto;;;;;;;
TX8348561;2024-01-02;correcta;19.1;;;;;;;
TX7380451;2024-01-02;incompleta;404.06;;;;;;;
TX5192721;2024-01-02;correcta;213.54;;;;;;;
TX5019605;2024-01-02;correcta;363.13;;;;;;;
TX4409341;2024-01-02;correcta;194.2;;;;;;;
TX8364637;2024-01-02;incompleta;398.89;;;;;;;
TX5005701;2024-01-02;correcta;146.43;;;;;;;
TX6716521;2024-01-02;correcta;10.36;;;;;;;
TX3767217;2024-01-02;correcta;108.35;;;;;;;
TX7616919;2024-01-02;incompleta;366.56;;;;;;;
TX2056645;2024-01-02;cancelada;75;;;;;;;
TX1014993;2024-01-02;correcta;82.63;;;;;;;
TX6343193;2024-01-02;correcta;452.25;;;;;;;
TX6431459;2024-01-02;cancelada;86.02;;;;;;;
TX9822564;2024-01-02;correcta;198.15;;;;;;;
TX6662702;2024-01-02;correcta;151.86;;;;;;;
TX5149477;2024-01-02;correcta;162.13;;;;;;;
TX9970858;2024-01-02;correcta;468.02;;;;;;;
TX4491235;2024-01-02;cancelada;176.16;;;;;;;
TX4692375;2024-01-02;correcta;335.2;;;;;;;
TX5490946;2024-01-02;cancelada;183.78;;;;;;;
TX8602183;2024-01-02;cancelada;119.63;;;;;;;
TX1854585;2024-01-02;correcta;75.64;;;;;;;
TX3636169;2024-01-02;correcta;425.03;;;;;;;
TX4623610;2024-01-02;correcta;138.83;;;;;;;
TX4772896;2024-01-02;correcta;473.06;;;;;;;
TX7553901;2024-01-02;correcta;327.64;;;;;;;
TX7893984;2024-01-02;correcta;88.43;;;;;;;
TX1369364;2024-01-02;correcta;37.56;;;;;;;
TX3194930;2024-01-02;correcta;33.65;;;;;;;
TX7222027;2024-01-02;cancelada;125.01;;;;;;;
TX2550925;2024-01-02;cancelada;62.72;;;;;;;
TX5658438;2024-01-03;correcta;320.08;;;;;;;
TX2867197;2024-01-03;correcta;379.96;;;;;;;
TX8039437;2024-01-03;cancelada;129.59;;;;;;;
TX4270309;2024-01-03;correcta;253.32;;;;;;;
TX3181335;2024-01-03;cancelada;70.01;;;;;;;
TX4304130;2024-01-03;correcta;138.73;;;;;;;
TX2478517;2024-01-03;correcta;193.95;;;;;;;
TX2245467;2024-01-03;correcta;111.59;;;;;;;
TX5116060;2024-01-03;correcta;227.53;;;;;;;
TX3064214;2024-01-03;cancelada;340.31;;;;;;;
TX6872852;2024-01-03;cancelada;82.73;;;;;;;
TX1740820;2024-01-03;correcta;304.16;;;;;;;
TX9815936;2024-01-03;correcta;20.31;;;;;;;
TX7303657;2024-01-03;incompleta;28.47;;;;;;;
TX5617856;2024-01-03;correcta;359.13;;;;;;;
TX1540318;2024-01-03;incompleta;197.14;;;;;;;
TX2580136;2024-01-03;correcta;23.51;;;;;;;
TX7648726;2024-01-03;incompleta;229.59;;;;;;;
TX9414852;2024-01-03;correcta;56.79;;;;;;;
TX6727029;2024-01-03;correcta;394.86;;;;;;;
TX3051940;2024-01-03;cancelada;74.21;;;;;;;
TX3550150;2024-01-03;correcta;449.32;;;;;;;
TX1226284;2024-01-03;correcta;84.07;;;;;;;
TX1110490;2024-01-03;correcta;173.16;;;;;;;
TX5866105;2024-01-03;correcta;138.53;;;;;;;
TX5688457;2024-01-03;correcta;441.08;;;;;;;
TX4832396;2024-01-03;correcta;316.58;;;;;;;
TX6912112;2024-01-03;correcta;294.2;;;;;;;
TX1968703;2024-01-03;correcta;79.07;;;;;;;
TX2611531;2024-01-03;correcta;258.65;;;;;;;
TX1684708;2024-01-03;correcta;490.87;;;;;;;
TX9806165;2024-01-03;correcta;84.93;;;;;;;
TX2749917;2024-01-03;incompleta;271.42;;;;;;;
TX7412679;2024-01-03;cancelada;205.87;;;;;;;
TX5037331;2024-01-03;incompleta;167.96;;;;;;;
TX7580359;2024-01-03;correcta;495.51;;;;;;;
TX4496698;2024-01-03;correcta;461.13;;;;;;;
TX9807020;2024-01-03;correcta;441.94;;;;;;;
TX9657115;2024-01-03;correcta;13.82;;;;;;;
TX9646978;2024-01-03;correcta;50.38;;;;;;;
TX2919615;2024-01-03;correcta;185.08;;;;;;;
TX5364717;2024-01-03;cancelada;488.73;;;;;;;
TX7164391;2024-01-03;incompleta;144.13;;;;;;;
TX2321758;2024-01-03;correcta;51.01;;;;;;;
TX4767326;2024-01-03;cancelada;319.72;;;;;;;
TX3600450;2024-01-03;correcta;38.95;;;;;;;
TX3578929;2024-01-03;incompleta;59.81;;;;;;;
TX5526007;2024-01-03;correcta;141.23;;;;;;;
TX3286565;2024-01-03;correcta;81.3;;;;;;;
TX1611934;2024-01-03;correcta;229.21;;;;;;;
TX9922712;2024-01-03;incompleta;491;;;;;;;
TX1540794;2024-01-03;incompleta;411.35;;;;;;;
TX8112757;2024-01-03;correcta;96.26;;;;;;;
TX7303480;2024-01-03;correcta;357.81;;;;;;;
TX5732063;2024-01-03;cancelada;357.2;;;;;;;
TX9175662;2024-01-03;cancelada;64.05;;;;;;;
TX6433692;2024-01-03;correcta;63.68;;;;;;;
TX2692953;2024-01-03;correcta;433.19;;;;;;;
TX9375866;2024-01-03;correcta;45.88;;;;;;;
TX3298803;2024-01-03;cancelada;371.36;;;;;;;
TX8050370;2024-01-03;correcta;174.33;;;;;;;
TX3913357;2024-01-03;correcta;87.38;;;;;;;
TX1451297;2024-01-03;correcta;150.38;;;;;;;
TX2711586;2024-01-03;correcta;29.9;;;;;;;
TX3629737;2024-01-03;incompleta;121.52;;;;;;;
TX1137338;2024-01-03;cancelada;200.48;;;;;;;
TX5187807;2024-01-03;correcta;162.43;;;;;;;
TX7440978;2024-01-03;correcta;350.74;;;;;;;
TX7682328;2024-01-03;correcta;416.12;;;;;;;
TX3682925;2024-01-03;cancelada;406.26;;;;;;;
TX7544738;2024-01-03;correcta;24.22;;;;;;;
TX4040577;2024-01-03;correcta;495.43;;;;;;;
TX6934669;2024-01-03;correcta;410.06;;;;;;;
TX7882709;2024-01-03;correcta;68.28;;;;;;;
TX2025078;2024-01-03;cancelada;43.61;;;;;;;
TX5620896;2024-01-03;correcta;393.68;;;;;;;
TX9204783;2024-01-03;correcta;492.42;;;;;;;
TX9292832;2024-01-03;correcta;292.23;;;;;;;
TX5532686;2024-01-03;correcta;50.31;;;;;;;
TX5691970;2024-01-03;correcta;106.54;;;;;;;
TX3657738;2024-01-03;correcta;331.8;;;;;;;
TX4586112;2024-01-03;correcta;379.32;;;;;;;
TX9462170;2024-01-03;correcta;197.04;;;;;;;
TX7819612;2024-01-03;correcta;186.01;;;;;;;
TX1831023;2024-01-03;correcta;151.03;;;;;;;
TX2702277;2024-01-03;correcta;339.61;;;;;;;
TX6254598;2024-01-03;cancelada;169.66;;;;;;;
TX2831665;2024-01-03;cancelada;93.06;;;;;;;
TX6211113;2024-01-03;correcta;169.95;;;;;;;
TX2240276;2024-01-03;cancelada;397.06;;;;;;;
TX2632953;2024-01-03;correcta;194.13;;;;;;;
TX1970014;2024-01-03;correcta;111.3;;;;;;;
TX5618265;2024-01-03;incompleta;435.56;;;;;;;
TX8304150;2024-01-03;cancelada;196.18;;;;;;;
TX1961530;2024-01-03;correcta;162.6;;;;;;;
TX2120641;2024-01-03;cancelada;341.9;;;;;;;
TX7035440;2024-01-03;cancelada;135.64;;;;;;;
TX1366388;2024-01-03;incompleta;479.32;;;;;;;
TX3427643;2024-01-03;correcta;481.73;;;;;;;
TX5807661;2024-01-03;correcta;219.78;;;;;;;
TX3022352;2024-01-03;correcta;246.75;;;;;;;
TX4072956;2024-01-03;cancelada;229.21;;;;;;;
TX2298098;2024-01-03;correcta;221.93;;;;;;;
TX3539872;2024-01-03;cancelada;38.32;;;;;;;
TX8827518;2024-01-03;correcta;211.89;;;;;;;
TX8483139;2024-01-04;correcta;63.55;;;;;;;
TX1250385;2024-01-04;correcta;350.62;;;;;;;
TX8657885;2024-01-04;correcta;414.67;;;;;;;
TX3287555;2024-01-04;correcta;450.2;;;;;;;
TX4460754;2024-01-04;correcta;240.07;;;;;;;
TX2977378;2024-01-04;correcta;374.03;;;;;;;
TX4045464;2024-01-04;cancelada;287.35;;;;;;;
TX9332560;2024-01-04;correcta;165.37;;;;;;;
TX9531626;2024-01-04;incompleta;452.71;;;;;;;
TX9423109;2024-01-04;cancelada;74.04;;;;;;;
TX7310171;2024-01-04;cancelada;457.24;;;;;;;
TX5877826;2024-01-04;correcta;280.76;;;;;;;
TX3500038;2024-01-04;correcta;103.76;;;;;;;
TX3642997;2024-01-04;correcta;96.93;;;;;;;
TX5607828;2024-01-04;correcta;156.09;;;;;;;
TX2454474;2024-01-04;correcta;157.47;;;;;;;
TX1493305;2024-01-04;correcta;329.36;;;;;;;
TX4382321;2024-01-04;correcta;264.15;;;;;;;
TX3937045;2024-01-04;correcta;29.97;;;;;;;
TX4971688;2024-01-04;correcta;366.14;;;;;;;
TX6896798;2024-01-04;cancelada;472.81;;;;;;;
TX1707370;2024-01-04;correcta;174.4;;;;;;;
TX8725648;2024-01-04;cancelada;412.58;;;;;;;
TX5294596;2024-01-04;cancelada;260.83;;;;;;;
TX8393254;2024-01-04;correcta;449.28;;;;;;;
TX2946540;2024-01-04;correcta;303.75;;;;;;;
TX4077929;2024-01-04;correcta;498;;;;;;;
TX8853102;2024-01-04;cancelada;43.7;;;;;;;
TX5613310;2024-01-04;incompleta;294.23;;;;;;;
TX2758797;2024-01-04;incompleta;187.48;;;;;;;
TX2986633;2024-01-04;correcta;98.28;;;;;;;
TX4366296;2024-01-04;correcta;454.67;;;;;;;
TX4145383;2024-01-04;correcta;458.35;;;;;;;
TX7583623;2024-01-04;correcta;146.44;;;;;;;
TX2301306;2024-01-04;cancelada;431.84;;;;;;;
TX7006392;2024-01-04;correcta;479.95;;;;;;;
TX1940150;2024-01-04;cancelada;220.2;;;;;;;
TX8111126;2024-01-04;correcta;175.21;;;;;;;
TX1172060;2024-01-04;correcta;338.21;;;;;;;
TX5539192;2024-01-04;cancelada;30.26;;;;;;;
TX8663951;2024-01-04;cancelada;445.72;;;;;;;
TX2397788;2024-01-04;correcta;275.75;;;;;;;
TX5188518;2024-01-04;correcta;250.76;;;;;;;
TX5052766;2024-01-04;correcta;10.69;;;;;;;
TX8737182;2024-01-04;cancelada;293.32;;;;;;;
TX3252323;2024-01-04;correcta;340.04;;;;;;;
TX7284301;2024-01-04;correcta;417.7;;;;;;;
TX2619634;2024-01-04;correcta;389.07;;;;;;;
TX7034231;2024-01-04;correcta;181.05;;;;;;;
TX9273083;2024-01-04;cancelada;490.53;;;;;;;
TX8504391;2024-01-04;correcta;363.13;;;;;;;
TX7947188;2024-01-04;cancelada;94.88;;;;;;;
TX4308148;2024-01-04;correcta;306.95;;;;;;;
TX5752018;2024-01-04;correcta;404.49;;;;;;;
TX1308990;2024-01-04;correcta;90.38;;;;;;;
TX7062004;2024-01-04;correcta;170.24;;;;;;;
TX5952673;2024-01-04;cancelada;107.53;;;;;;;
TX7045477;2024-01-04;cancelada;422.24;;;;;;;
TX7250336;2024-01-04;correcta;55.79;;;;;;;
TX1740320;2024-01-04;correcta;70.23;;;;;;;
TX8559050;2024-01-04;cancelada;201.68;;;;;;;
TX3535655;2024-01-04;incompleta;268.72;;;;;;;
TX3584463;2024-01-04;cancelada;317.71;;;;;;;
TX7159930;2024-01-04;correcta;300.76;;;;;;;
TX7124762;2024-01-04;correcta;198.81;;;;;;;
TX9925978;2024-01-04;cancelada;345.12;;;;;;;
TX8566829;2024-01-04;correcta;328.95;;;;;;;
TX3871418;2024-01-04;correcta;51.84;;;;;;;
TX2947846;2024-01-04;correcta;39.38;;;;;;;
TX5959476;2024-01-04;correcta;281;;;;;;;
TX7552649;2024-01-04;cancelada;446.58;;;;;;;
TX7363897;2024-01-04;correcta;24.88;;;;;;;
TX9932311;2024-01-04;correcta;115.07;;;;;;;
TX5159372;2024-01-04;correcta;92.91;;;;;;;
TX4549779;2024-01-04;correcta;465.21;;;;;;;
TX6518815;2024-01-04;correcta;29.55;;;;;;;
TX6515325;2024-01-04;correcta;461.44;;;;;;;
TX6777645;2024-01-04;cancelada;12.38;;;;;;;
TX2662875;2024-01-04;correcta;110.05;;;;;;;
TX1862677;2024-01-04;incompleta;379.59;;;;;;;
TX5458779;2024-01-04;correcta;372.16;;;;;;;
TX3200636;2024-01-04;correcta;454.15;;;;;;;
TX1613703;2024-01-04;cancelada;253.5;;;;;;;
TX5548351;2024-01-04;cancelada;358.61;;;;;;;
TX1575101;2024-01-04;correcta;484.92;;;;;;;
TX7865151;2024-01-04;cancelada;144.51;;;;;;;
TX9578605;2024-01-04;incompleta;490.29;;;;;;;
TX8969380;2024-01-04;correcta;193.21;;;;;;;
TX3313623;2024-01-04;correcta;472.87;;;;;;;
TX7529018;2024-01-04;correcta;92.73;;;;;;;
TX6568032;2024-01-04;correcta;497.99;;;;;;;
TX1283394;2024-01-04;cancelada;241.28;;;;;;;
TX4566537;2024-01-04;correcta;208.78;;;;;;;
TX1305315;2024-01-04;correcta;360.07;;;;;;;
TX5608911;2024-01-04;incompleta;187.27;;;;;;;
TX5695375;2024-01-04;correcta;470.07;;;;;;;
TX6557717;2024-01-04;correcta;185.8;;;;;;;
TX2989892;2024-01-04;cancelada;273.93;;;;;;;
TX6952589;2024-01-04;correcta;397.56;;;;;;;
TX7977399;2024-01-04;cancelada;357.19;;;;;;;
TX5052248;2024-01-04;correcta;346.1;;;;;;;
TX5112651;2024-01-04;correcta;193.72;;;;;;;
TX2169790;2024-01-04;correcta;390.78;;;;;;;
TX8058587;2024-01-04;correcta;364.53;;;;;;;
TX4264900;2024-01-04;correcta;13;;;;;;;
TX6787222;2024-01-04;correcta;40.18;;;;;;;
TX2691996;2024-01-04;correcta;63.6;;;;;;;
TX4328739;2024-01-04;incompleta;322.08;;;;;;;
TX2625594;2024-01-04;cancelada;202.79;;;;;;;
TX4630688;2024-01-04;correcta;266.28;;;;;;;
TX8925555;2024-01-04;correcta;248.41;;;;;;;
TX7392344;2024-01-04;cancelada;354.31;;;;;;;
TX1459667;2024-01-04;correcta;34.26;;;;;;;
TX1503296;2024-01-04;correcta;86.98;;;;;;;
TX9461070;2024-01-04;correcta;409.2;;;;;;;
TX6298847;2024-01-04;correcta;83.76;;;;;;;
TX5001739;2024-01-04;cancelada;141.53;;;;;;;
TX1556111;2024-01-04;correcta;364.51;;;;;;;
TX6837117;2024-01-04;correcta;375.3;;;;;;;
TX6340629;2024-01-04;correcta;334.62;;;;;;;
TX6775026;2024-01-04;incompleta;477.53;;;;;;;
TX1142485;2024-01-04;correcta;246.83;;;;;;;
TX5261942;2024-01-04;correcta;427.71;;;;;;;
TX1603187;2024-01-04;cancelada;293.18;;;;;;;
TX6367943;2024-01-04;correcta;163.52;;;;;;;
TX6639623;2024-01-04;cancelada;280.09;;;;;;;
TX9674169;2024-01-04;incompleta;360.58;;;;;;;
TX8303911;2024-01-04;correcta;388.53;;;;;;;
TX3708849;2024-01-04;cancelada;272.1;;;;;;;
TX9954925;2024-01-04;correcta;441.91;;;;;;;
TX2839758;2024-01-04;cancelada;159.68;;;;;;;
TX5068042;2024-01-04;correcta;236.03;;;;;;;
TX9586851;2024-01-04;incompleta;77.83;;;;;;;
TX9162588;2024-01-04;correcta;201.37;;;;;;;
TX4055669;2024-01-04;correcta;425.13;;;;;;;
TX4606069;2024-01-04;cancelada;124.88;;;;;;;
TX8224197;2024-01-04;correcta;229.18;;;;;;;
TX5121221;2024-01-04;correcta;76.78;;;;;;;
TX2744650;2024-01-04;correcta;342.76;;;;;;;
TX2159528;2024-01-04;correcta;130.07;;;;;;;
TX5513713;2024-01-04;incompleta;396.45;;;;;;;
TX7939363;2024-01-04;correcta;196.72;;;;;;;
TX7432813;2024-01-04;correcta;355.12;;;;;;;
TX8670779;2024-01-04;correcta;29.47;;;;;;;
TX4360559;2024-01-04;incompleta;366.45;;;;;;;
TX7548767;2024-01-04;correcta;395.29;;;;;;;
TX2249550;2024-01-04;cancelada;26.52;;;;;;;
TX4692084;2024-01-04;correcta;139.86;;;;;;;
TX2233698;2024-01-04;cancelada;79.42;;;;;;;
TX3620788;2024-01-04;correcta;68.09;;;;;;;
TX6558863;2024-01-05;correcta;408.44;;;;;;;
TX9271496;2024-01-05;correcta;375.63;;;;;;;
TX4657248;2024-01-05;correcta;410.04;;;;;;;
TX3457797;2024-01-05;cancelada;239.13;;;;;;;
TX2636344;2024-01-05;correcta;464.19;;;;;;;
TX9318899;2024-01-05;correcta;477.1;;;;;;;
TX5953764;2024-01-05;correcta;381.06;;;;;;;
TX3465352;2024-01-05;correcta;205.55;;;;;;;
TX6662028;2024-01-05;correcta;148.34;;;;;;;
TX9973010;2024-01-05;cancelada;319.33;;;;;;;
TX8462450;2024-01-05;cancelada;19.48;;;;;;;
TX7047488;2024-01-05;correcta;454.11;;;;;;;
TX1738344;2024-01-05;incompleta;95.03;;;;;;;
TX3236779;2024-01-05;correcta;382.47;;;;;;;
TX8400995;2024-01-05;correcta;222.38;;;;;;;
TX4976508;2024-01-05;cancelada;15.52;;;;;;;
TX3413274;2024-01-05;cancelada;320.98;;;;;;;
TX9857790;2024-01-05;cancelada;330.82;;;;;;;
TX9459719;2024-01-05;correcta;183.27;;;;;;;
TX6832409;2024-01-05;correcta;254.86;;;;;;;
TX5111370;2024-01-05;correcta;398.85;;;;;;;
TX6367898;2024-01-05;cancelada;287.34;;;;;;;
TX7481752;2024-01-05;correcta;124.96;;;;;;;
TX3549947;2024-01-05;incompleta;188.61;;;;;;;
TX7333846;2024-01-05;cancelada;303.8;;;;;;;
TX1559311;2024-01-05;correcta;133.13;;;;;;;
TX7215276;2024-01-05;correcta;427.57;;;;;;;
TX6944087;2024-01-05;correcta;194.72;;;;;;;
TX6334762;2024-01-05;cancelada;291.49;;;;;;;
TX9212569;2024-01-05;correcta;128.9;;;;;;;
TX3706715;2024-01-05;correcta;318.92;;;;;;;
TX4159060;2024-01-05;correcta;53.74;;;;;;;
TX1439905;2024-01-05;cancelada;149.95;;;;;;;
TX4388202;2024-01-05;correcta;263.96;;;;;;;
TX6907108;2024-01-05;correcta;449.29;;;;;;;
TX2591960;2024-01-05;correcta;96.95;;;;;;;
TX4490011;2024-01-05;correcta;484.62;;;;;;;
TX2451708;2024-01-05;correcta;355.75;;;;;;;
TX7644808;2024-01-05;correcta;243.52;;;;;;;
TX4233963;2024-01-05;correcta;183.55;;;;;;;
TX5101678;2024-01-05;correcta;136.53;;;;;;;
TX2296538;2024-01-05;correcta;58.73;;;;;;;
TX9305743;2024-01-05;cancelada;178.87;;;;;;;
TX4394124;2024-01-05;correcta;387.72;;;;;;;
TX8505394;2024-01-05;correcta;402.91;;;;;;;
TX6039089;2024-01-05;cancelada;192.64;;;;;;;
TX9666070;2024-01-05;correcta;196.48;;;;;;;
TX7483059;2024-01-05;correcta;201.47;;;;;;;
TX6255055;2024-01-05;correcta;113.77;;;;;;;
TX5839004;2024-01-05;cancelada;192.15;;;;;;;
TX4602316;2024-01-05;correcta;385.77;;;;;;;
TX6467628;2024-01-05;incompleta;185.25;;;;;;;
TX5236914;2024-01-05;correcta;334.7;;;;;;;
TX3504299;2024-01-05;correcta;161.59;;;;;;;
TX4175259;2024-01-05;incompleta;191.17;;;;;;;
TX9951037;2024-01-05;correcta;206.23;;;;;;;
TX8796045;2024-01-05;correcta;321.57;;;;;;;
TX1645669;2024-01-05;cancelada;251.74;;;;;;;
TX2410424;2024-01-05;correcta;222.38;;;;;;;
TX5669929;2024-01-05;cancelada;204.91;;;;;;;
TX2423383;2024-01-05;correcta;136.58;;;;;;;
TX7835725;2024-01-05;correcta;300.32;;;;;;;
TX9384952;2024-01-05;incompleta;385.79;;;;;;;
TX2758908;2024-01-05;correcta;389.59;;;;;;;
TX5633229;2024-01-05;cancelada;16.25;;;;;;;
TX6622607;2024-01-05;correcta;193.26;;;;;;;
TX7494985;2024-01-05;correcta;362.94;;;;;;;
TX1207921;2024-01-05;correcta;12.32;;;;;;;
TX2040556;2024-01-05;incompleta;402.23;;;;;;;
TX4126870;2024-01-05;correcta;263.05;;;;;;;
TX9567825;2024-01-05;cancelada;187.46;;;;;;;
TX1577833;2024-01-05;correcta;71.67;;;;;;;
TX9312492;2024-01-05;cancelada;468.5;;;;;;;
TX6616276;2024-01-05;correcta;364.22;;;;;;;
TX1134683;2024-01-05;correcta;390.3;;;;;;;
TX7619648;2024-01-05;correcta;283.75;;;;;;;
TX9173574;2024-01-05;correcta;483.43;;;;;;;
TX5604045;2024-01-05;cancelada;339.13;;;;;;;
TX6917056;2024-01-05;cancelada;165.25;;;;;;;
TX5617397;2024-01-05;incompleta;464.88;;;;;;;
TX7940286;2024-01-05;correcta;395.35;;;;;;;
TX4875243;2024-01-05;correcta;176.78;;;;;;;
TX4254365;2024-01-05;correcta;313.39;;;;;;;
TX4944694;2024-01-05;correcta;342.93;;;;;;;
TX1497125;2024-01-05;incompleta;376.08;;;;;;;
TX8440148;2024-01-05;correcta;336.68;;;;;;;
TX7711686;2024-01-05;correcta;450.61;;;;;;;
TX6890355;2024-01-05;correcta;495.51;;;;;;;
TX1549342;2024-01-05;cancelada;340.55;;;;;;;
TX8253307;2024-01-05;correcta;77.54;;;;;;;
TX9841066;2024-01-05;cancelada;389.95;;;;;;;
TX8283509;2024-01-05;correcta;24.36;;;;;;;
TX2630496;2024-01-05;correcta;267.26;;;;;;;
TX3741199;2024-01-05;correcta;398.14;;;;;;;
TX7748218;2024-01-05;cancelada;291.77;;;;;;;
TX9100132;2024-01-05;correcta;53.85;;;;;;;
TX7367632;2024-01-05;correcta;310.95;;;;;;;
TX6267085;2024-01-05;incompleta;165.49;;;;;;;
TX3838065;2024-01-05;correcta;395.18;;;;;;;
TX1136492;2024-01-05;correcta;462.47;;;;;;;
TX5611097;2024-01-05;incompleta;397.66;;;;;;;
TX7908241;2024-01-05;incompleta;439.95;;;;;;;
TX6646227;2024-01-05;correcta;258.23;;;;;;;
TX4778853;2024-01-05;correcta;274.77;;;;;;;
TX7352980;2024-01-05;correcta;30.5;;;;;;;
TX4755569;2024-01-05;correcta;138.13;;;;;;;
